JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
PEREMPUAN;18;SUMATERA BARAT;8000000;PETANI;SMA/Sederajat;S1;1200000;1200000;TIDAK
PEREMPUAN;18;BOGOR;5000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;900000;TIDAK
PEREMPUAN;18;BOGOR;7000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1500000;TIDAK
PEREMPUAN;17;SULAWESI SELATAN;7000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;19;REMBANG;2400000;PNS;SMA/Sederajat;SD;400000;350000;TIDAK
PEREMPUAN;18;BEKASI;9000000;KARYAWAN SWASTA;S1;SMA/Sederajat;1000000;350000;TIDAK
PEREMPUAN;18;BEKASI;5000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;17;SRAGEN;2400000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;600000;600000;YA
PEREMPUAN;18;DKI JAKARTA;9000000;PEGAWAI BUMN;S2;S1;700000;600000;TIDAK
LAKI-LAKI;18;PANGANDARAN;9000000;PNS;S1;S1;1500000;1300000;YA
PEREMPUAN;17;MEDAN;7000000;PNS;S2;DIPLOMA;1500000;1200000;TIDAK
PEREMPUAN;18;BANYUWANGI;2400000;WIRASWASTA;S1;DIPLOMA;1000000;700000;TIDAK
PEREMPUAN;18;MEDAN;9000000;WIRASWASTA;S1;S2;1500000;1500000;TIDAK
PEREMPUAN;18;BOGOR;9000000;PNS;S2;S1;1500000;1200000;TIDAK
LAKI-LAKI;17;JOMBANG;2400000;PETANI;S1;S1;600000;500000;TIDAK
LAKI-LAKI;18;ACEH;11000000;KARYAWAN SWASTA;S1;S1;1300000;1000000;YA
LAKI-LAKI;18;CILEDUG;10000000;PNS;S2;S1;900000;700000;TIDAK
LAKI-LAKI;18;PROBOLINGGO;2400000;WIRASWASTA;DIPLOMA;SMA/Sederajat;1000000;800000;TIDAK
